1/Human Resources (HR)	
	
	
	
	
	
	
R	internship
	
R	
R	
R	inernship مع جهات اخرى 
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
A, R	موظفين وبيئة عمل العمل
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
R	
	
A, R	
A, R	
R	
R	
R	
R	
R	
	
	
	
2/Procurement & Supply Chain	
	
	
R	متطوعو الشراء 
	
	
	
R	
	
R	متطوعو الشراء 
R	
	
	
	
	
	
	
	
R	
S	
	
S	
	
	
	
	
	
	
	
	
	
	
	
	
	
R	
	
A, R	الموردين 
	
	
	
	
	
	
	
	
	
	
R	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
R	
	
A, R	
A, R	
S	
S	
R	
R	
R	
	
	
	
3/Operations / Program Implementation	
R	
R	
R	
R	
R	
R	
R	
	
R	
R	
	
	
R	
	
	
A, R	
R	
A, R	
	
	
	
	
	
	
	
	
	
	
	
A, R	
A, R	
A, R	
A, R	
A, R	
	
	
A, R	partners  و مستفيدين 
A, R	
A, R	
A, R	
A, R	
A, R	
	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
	
R	
A, R	
R, A	
A, R	
A, R	
A	
	
A, R	
	
R	
R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
	
	
	
	
	
	
	
	
A, R	
A, R	
A, R	
	
A, R	
S	
S	
R	
	
	
A, R	
	
	
R	
R	
R	
	
	
	
4/Finance	
	
	
	
	
	
	
R	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
S	
S	
	
	
	
	
	
R	بنوك و موردين  و تقارير مالية مع الشركاء 
	
S	
S	
	
S	
	
S	
S, I	
S	
S	
S	
S	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
A, R	
	
	
	
A, R	
S, I	
A, R	
A, R	
	
	
R	
R	
R	
	
	
	
5/Administration & Legal Affairs	
S	الجمعيات
S	الجمعيات
S	الجمعيات
S	الجمعيات
S	الجمعيات
	
	
	
S	الجمعيات
S	الجمعيات
	
	
	
S	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
S	التراخيص والتصاريح
S	التراخيص والتصاريح
S	
S	
	
	
	
A, R	النزعات القضائية و الشكاوى 
R	
R	
R	
R	
A, R	
	
S	
	
S	
S	
	
	
	
	
S	
S	
	
	
	
	
	
	
	
	
S	
S	
	
	
	
	
	
	
S	
S	
	
	
	
	
	
	
	
S	
S	
S	
S	
S	
S	
S	
	
	
A, R	
A, R	
	
	
R	
R	
	
	
A, R, C	
A, R, C	
6/Information Technology (IT)	
S	
S	
S	
S	
S	
S	
S	
	
S	
S	
	
S	
R, S	
	
	
S	
	
	
	
	
	
S	
	
S	
	
	
	
	
	
	
	
S	
	
	
	
	
A, R	
	
	
	
	
S	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
